epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19422,2.03223,4.85244,1.45055,0,0,0,0,2.10951,4.59846,1.87457,1.667e-05,1.667e-05,1.667e-05
2,3.34148,2.01993,4.67724,1.45496,0,0,0,0,1.97813,4.57797,1.78982,4.95149e-05,4.95149e-05,4.95149e-05
3,4.62129,2.44911,4.38675,1.65313,0,0,0,0,1.79123,4.56038,1.61363,8.16997e-05,8.16997e-05,8.16997e-05
4,5.88613,1.71804,4.40739,1.27723,0,0,0,0,1.73663,4.47446,1.44262,0.000113224,0.000113224,0.000113224
5,7.1216,2.25598,4.52546,1.46537,0.00078,0.08333,0.00046,0.00042,1.79688,4.25316,1.24963,0.000144089,0.000144089,0.000144089
6,8.24635,1.86979,4.00361,1.24306,0.00157,0.16667,0.00109,0.00075,1.7099,4.17295,1.13511,0.000174293,0.000174293,0.000174293
7,9.66597,1.99221,4.17626,1.36727,0.00215,0.25,0.00145,0.00083,1.64748,3.98795,1.07327,0.000203837,0.000203837,0.000203837
8,10.9524,1.59414,3.8884,1.04787,0.00211,0.25,0.00143,0.00098,1.57832,3.93647,1.08146,0.000232722,0.000232722,0.000232722
9,12.3136,1.82474,3.59382,1.28061,0.00209,0.25,0.00142,0.00098,1.49859,3.91097,1.04499,0.000260946,0.000260946,0.000260946
10,13.6758,1.58186,3.28001,1.15251,0.00477,0.58333,0.00832,0.00265,1.49814,3.89678,1.02157,0.000288509,0.000288509,0.000288509
11,14.9768,1.81102,3.12221,1.45676,0.00412,0.5,0.00413,0.00247,1.44586,3.80763,0.98921,0.000315413,0.000315413,0.000315413
12,16.2071,1.389,2.77193,1.06459,0.00412,0.5,0.00413,0.00247,1.44586,3.80763,0.98921,0.000341657,0.000341657,0.000341657
13,17.4953,1.5574,3.00544,1.17938,0.00541,0.66667,0.00593,0.00277,1.41618,3.79263,1.0189,0.00036724,0.00036724,0.00036724
14,18.7094,1.99225,2.91789,1.19305,0.00614,0.75,0.00691,0.00336,1.43104,3.68566,1.03314,0.000392163,0.000392163,0.000392163
15,19.9844,1.82421,2.49625,1.11166,0.00614,0.75,0.00691,0.00336,1.43104,3.68566,1.03314,0.000416427,0.000416427,0.000416427
16,21.3324,1.82189,2.58722,1.05937,0.00541,0.66667,0.00537,0.00185,1.4424,3.681,1.00971,0.00044003,0.00044003,0.00044003
17,22.6284,1.95328,2.26673,1.17121,0.004,0.5,0.00337,0.00158,1.32735,3.58231,0.95311,0.000462973,0.000462973,0.000462973
18,24.0942,1.5856,2.20934,1.08741,0.004,0.5,0.00337,0.00158,1.32735,3.58231,0.95311,0.000485255,0.000485255,0.000485255
19,25.3497,1.51426,2.40705,1.17375,0.00267,0.33333,0.16887,0.12656,1.34328,3.47771,0.95813,0.000506878,0.000506878,0.000506878
20,26.5094,1.64658,2.19117,1.08184,0.00267,0.33333,0.16887,0.12656,1.34328,3.47771,0.95813,0.000527841,0.000527841,0.000527841
21,27.7843,1.32179,3.1931,1.02026,0.00202,0.25,0.16836,0.10937,1.49573,3.33487,1.03495,0.000548143,0.000548143,0.000548143
22,28.945,1.71617,2.06318,1.06885,0.00202,0.25,0.16836,0.10937,1.49573,3.33487,1.03495,0.000567785,0.000567785,0.000567785
23,30.2384,1.89199,2.06488,1.01739,0.00278,0.33333,0.25119,0.17539,1.39034,3.28928,0.98731,0.000586767,0.000586767,0.000586767
24,31.5662,1.52681,2.12668,1.07842,0.00278,0.33333,0.25119,0.17539,1.39034,3.28928,0.98731,0.000605089,0.000605089,0.000605089
25,32.8313,1.3477,1.94061,1.11063,0.00293,0.33333,0.16919,0.12685,1.17719,3.26861,0.94923,0.000622751,0.000622751,0.000622751
26,33.9942,1.30552,1.72014,0.96339,0.00293,0.33333,0.16919,0.12685,1.17719,3.26861,0.94923,0.000639753,0.000639753,0.000639753
27,35.1908,1.83967,2.44735,1.08649,0.00293,0.33333,0.16919,0.12685,1.17719,3.26861,0.94923,0.000656095,0.000656095,0.000656095
28,36.6667,1.4371,1.94767,0.97551,0.00348,0.33333,0.12544,0.09277,1.3103,3.32476,0.99298,0.000671776,0.000671776,0.000671776
29,37.8533,1.24207,2.17498,0.95941,0.00348,0.33333,0.12544,0.09277,1.3103,3.32476,0.99298,0.000686797,0.000686797,0.000686797
30,39.1193,1.24287,1.74558,0.99246,0.00599,0.5,0.19113,0.14925,1.29605,3.18396,0.98268,0.000701159,0.000701159,0.000701159
31,40.2373,1.27253,1.67405,0.99974,0.00599,0.5,0.19113,0.14925,1.29605,3.18396,0.98268,0.00071486,0.00071486,0.00071486
32,41.3377,1.46423,1.95148,1.00823,0.00599,0.5,0.19113,0.14925,1.29605,3.18396,0.98268,0.000727901,0.000727901,0.000727901
